TIPO LOGR,LOGRD,NUMERO,BAIRRO,MUNICIPIO,UF,Latitude,Longitude
AVENIDA,PEDRO LOPES VIEIRA,316,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,ADAUTO CASTELO,329,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,JOAO BATISTA MORENO,36,VARZEA DA CONCEICAO,Cedro,CE,-6.4750432,-39.1115344
AVENIDA,PEDRO LOPES VIEIRA,666,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,ADAUTO CASTELO,385,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,ANTONIO VALDER VIANA,96,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,PROFESSOR NATANAEL CORTEZ,955,PRADO,Cedro,CE,-6.6044449,-39.0569302
RUA,RUA SINHA DE ALCANTARA,520,DIVISAO,Cedro,CE,-6.60667,-39.06222
ESTRADA,CEDRO,S/N,DISTRITO ASSUNCAO,Cedro,CE,-6.62694,-39.09778
RUA,SENADOR JOAO TOME,36,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,21 DE OUTUBRO,1280,ALTO DO PADEIRO,Cedro,CE,-6.6074676,-39.0610877
RUA,DR GUEDES MARTINS,29,CENTRO,Cedro,CE,-6.60667,-39.06222
10A AVENIDA,JOAQUIM ALVES DOS SANTOS,557,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,DEPUTADO LIBERATO MOACIR DE AGUIAR,128,CENTRO,Cedro,CE,-6.60667,-39.06222
SITIO,AGROVILA,S/N,DISTRITO SAO MIGUEL,Cedro,CE,-6.56389,-39.20444
RUA,VEREADOR SALUSTIANO DE MOURA,299,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,SAO JOSE,1638,PEGA AVOANTE,Cedro,CE,-6.60667,-39.06222
10A RUA,Vicentina de Albuquerque,102,Fatima,Cedro,CE,-6.60667,-39.06222
RUA,FAZENDDA SANTA ISABEL,25,VARZEA DA CONCEICAO,Cedro,CE,-6.475,-39.11333
11A RUA,RUA2 JOSE PEREIRA MAGALHAES,19,DIVISAO,Cedro,CE,-6.60667,-39.06222
10A RUA,ANTONIO VALDER VIANA,174,CENTRO,Cedro,CE,-6.60667,-39.06222
SITIO,MUNDO NOVO,231,VARZEA DA CONCEICAO,Cedro,CE,-6.475,-39.11333
RUA,RAIMUNDO GUEDES MARTINS,363,VILA OPERARIA,Cedro,CE,-6.6031859,-39.0584444
SITIO,MUNDO NOVO,822,DISTRITO VARZEA DA CONCEICAO,Cedro,CE,-6.475,-39.11333
10A RUA,OBI JUCA DINIZ,177,PRADO,Cedro,CE,-6.6041621,-39.0586257
SITIO,GANGORRA,1175,CANDEIAS,Cedro,CE,-6.59806,-39.1
RUA,RUA SAO JOSE,1155,PEGA AVOANTE,Cedro,CE,-6.60667,-39.06222
RUA,PROFESSOR NATANAEL CORTEZ,959,BAIRRO,Cedro,CE,-6.60667,-39.06222
RUA,SAO JOSE,879,PEGA AVOANTE,Cedro,CE,-6.60667,-39.06222
10A RUA,JOAO BATISTA MORENO,10,SEM BAIRRO,Cedro,CE,-6.60667,-39.06222
RUA,ZE PAJE,335,CENTRO,Cedro,CE,-6.60667,-39.06222
VILA,VARZEA DA CONCEICAO,320,VARZEA DA CONCEICAO,Cedro,CE,-6.475,-39.11333
RUA,SENADOR JOAO TOME,50,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL JOSE DE ALBUQUERQUE,521,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,ADAUTO CASTELO,233,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,VER.SALUSTIANO MOURA,530,CENTRO,Cedro,CE,-6.60667,-39.06222
PRACA,ARISTIDES MILITAO,222,FATIMA,Cedro,CE,-6.60667,-39.06222
RUA,VEREADOR SALUSTIANO MOURA,551,CENTRO,Cedro,CE,-6.60667,-39.06222
SETOR,MUNDO NOVO,SN,ZONA RURAL,Cedro,CE,-6.60667,-39.06222
RUA,CORONEL JOSE DE ALBUQUERQUE,407,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,ROSITA AFONSO DE ARAUJO,114,JD. AFONSO CELSO,Cedro,CE,-6.60667,-39.06222
RUA,JOAO VITORINO BEZERRA,184,PEDRA AVOANTE,Cedro,CE,-6.60667,-39.06222
,AGROVILA,S/N,DISTRITO UBALDINHO,Cedro,CE,-6.58333,-39.23333
RUA,SENADOR JOAO TOME,160,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,SAO JOSE,914,CENTRO,Cedro,CE,-6.60667,-39.06222
10A RUA,RUA CORONEL JOAO CANDIDO,464,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL JOAO CANDIDO DE MOURA,229,FATIMA,Cedro,CE,-6.60667,-39.06222
RUA,NOSSA SENHORA DA CONCEICAO,98,VARZEA DA CONCEICAO,Cedro,CE,-6.4758046,-39.111473
SITIO,COBRA,2300,DISTRITO SANTO ANTONIO,Cedro,CE,-6.58417,-38.97139
TRAVESSA,ANTONIO PEREIRA,130,PRADO,Cedro,CE,-6.6041005,-39.0575743
AVENIDA,PEDRO LOPES VIEIRA,304,CENTRO,Cedro,CE,-6.60667,-39.06222
SITIO,CURICACA,S/N,ZONA RURAL,Cedro,CE,-6.60667,-39.06222
SITIO,UMARI TORTO,SN,ZONA RURAL,Cedro,CE,-6.60667,-39.06222
RUA,PREFEITO ANTONIO ALVES DOS SANTOS,171,FATIMA,Cedro,CE,-6.6048196,-39.0634008
RUA,VEREADOR SALUSTIANO DE MOURA,543,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,DEPUTADO LIBERATO MOACIR DE AGUIAR,120,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL JOSE DE ALBUQUEQUE,577,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,FRANCISCO DUARTE,599,ALTO DA FLORESTA,Cedro,CE,-6.60667,-39.06222
